Boxoffice_Receipt_1,Number_of_IMDB_Votes_1,IMDB_Rating,90sMovies ,00s_ Movies,Boxoffice_Receipt_2,Number_of_IMDB votes_2,IMDB_Rating_2,10_Movies,Boxoffice_Receipt_3,Number_of_IMDB_votes_3,IMDB_Rating_3
21274717,48862,5.3,Coneheads_(A),Little Nicky_(A),39464775,94922,5.3,Grown Ups_(A),162001186,219787,5.9
5751882,44701,6.1,Airheads_(A),Punch-Drunk Loveÿ_(A),17844216,140638,7.3,Just Go with It_(A),103028109,211275,6.4
6821850,9997,5.5,Mixed Nuts(A),Mr.Deeds_(A),126293452,131679,5.8,Jack & Jill_(A),74158157,74969,3.3
25588734,126196,6.4,Billy Madison_(A),Eight Crazy Nights_(A),23586598,20932,5.4,That's My Boy_(A),36931089,87073,5.5
38824099,188839,7,Happy Gilmore_(A),Anger Management_(A),135645823,197987,6.3,Hotel Transylvania_(A),148313048,214360,7.1
21576954,34042,5.8,Bulletproof_(A),50 First Dates_(A),"ÿ                $120,908,074",315271,6.8,Grown Ups 2_(A),133668525,134829,5.4
80245725,129829,6.8,The Wedding Singer_(A),Spanglish_(A),42726869,76212,6.4,Blended_(A),46294610,112298,6.5
161491646,143542,6.1,The WaterBoy_(A),The Longest Yard_(A),158119460,156753,6.4,Top Five_(A),25317471,25270,6.4
163479795,192413,6.4,Big Daddy_(A),Click_(A),137355633,295099,6.4,Pixel_(A),78747585,126072,5.5
53883989,214558,7,Austin Powers: Man of mystery_(W),Reign Over Me_(A),19661987,91493,7.4,Hotel Transylvania 2_(A),169700110,100441,6.7
30331165,55228,6.3,A Night at the Roxbury_(W),I Now Pronounce you Chuck & Larry_(A),120059556,137221,5.9,Hotel Transylvania 3: Summer Vacation_(A),167510016,50695,6.3
206040086,210762,6.6,Austin Powers: The Spy who_(W),You Don't Mess with the Zohan_(A),100018837,184464,5.5,Uncut Gems_(A),50023780,150592,7.5
6262878,18023,6.1,Dick_(W),Bedtime Stories_(A),110101975,85482,6,The Other Guys_(W),119219978,233298,6.6
30636478,17494,5.2,Superstar_(W),Funny People_(A),51855045,111774,6.3,Everything Must Go_(W),2711643,46796,6.4
72217396,266738,6.9,Ace Ventura: Pet Detective_(J),Drowning Mona_(W),15506764,12881,5.7,Megamind_(W),148415853,218081,7.2
119938730,330309,6.9,The Mask_(J),The Ladies Man_(W),13616610,12140,5.2,The Campaign_(W),86907746,121780,6.1
127175374,341844,7.3,Dumb and Dumber_(J),Jay and Silent Bob Strike Back_(W),30085147,145616,6.8,Anchorman 2: The Legend Continues_(W),127352707,162831,6.3
184069126,228161,5.4,Batman Forever_(J),Zoolander_(W),45172250,239228,6.5,The Lego Movie_(W),257760692,315322,8
"$108,385,533 ",195849,6.4,Ace Ventura: When Nature Calls_(J),Elf_(W),174626840,208613,6.9,Get Hard_(W),90411453,116937,6
60240295,146799,6.1,The Cable Guy_(J),Anchorman: The Legend of Ron Burgundy_(W),"ÿ                $85,288,303",319554,7.2,Daddy's Home_(W),150357137,103202,6.2
181410615,271238,6.9,Liar Liar_(J),Melinda & Melinda_(W),3826280,30384,6.4,Zoolander 2_(W),28848693,62465,4.7
125618201,886056,8.1,The Truman Show_(J),Kicking & Screaming_(W),52842724,34985,5.6,The House_(W),25584504,38239,5.6
18253415,20141,6.9,Simon Birch_(J),Bewitched_(W),63313159,67140,4.8,Daddy's Home 2_(W),104029443,57028,6
34607430,120528,7.4,Man on the moon_(J),The Producers_(W),"                ÿ$19,398,532",39610,6.3,Holmes & Watson_(W),30573626,26680,3.8
80818974,36948,5.9,Another 48 hrs._(E),Curious George_(W),58360760,14938,6.5,The Lego Movie 2: The Second Part_(W),105806508,48131,6.6
70052444,24776,5.5,Boomerang_(E),Talladega Nights: The Ballad of Ricky Bobby_(W),148213377,161340,6.6,Mr. Popper's Penguins_(J),68224452,84381,6
46666502,14742,5.9,The Distingushed Gentleman_(E),Stranger Than Fiction_(W),40660952,212869,7.6,The Incredible Burt Wonderstone_(J),22537881,69312,5.9
42614912,73443,5.6,Beverly Hills Cop III_(E),Blades of Glory_(W),118594548,152967,6.3,Kick-Ass 2_(J),28795985,247828,6.5
19751736,20763,4.6,Vampire in Brookyln_(E),Semi-Pro_(W),33479698,76631,5.8,Dumb and Dumber To_(J),86208010,124202,5.6
128814019,106271,5.6,The Nutty Professor_(E),Old School_(W),75585093,209170,7.1,Sonic the Hedgehog_(J),146066470,50878,6.6
32000301,24851,5.5,Metro_(E),Step Brothers_(W),100468793,258503,6.9,Greenberg_(B),4234170,34975,6.1
120620254,238267,7.6,Mulan_(E),Land of the Lost_(W),"ÿ                $49,438,370",63382,5.3,Little Fockers_(B),148438600,102994,5.5
144156605,89068,5.4,Doctor Dolittle_(E),How the Grinch Stole Christmas_(J),260044825,195420,6.2,Tower Heist_(B),78046570,129459,6.2
12069719,18625,4.9,Holy Man_(E),The Majestic_(J),27807266,51061,6.9,Madagascar 3: Europe's Most Wanted_(B),216391482,155509,6.8
